person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
33,53388,MORTGAGE,2.2,HOMEIMPROVEMENT,A,11000,7.23,0,0.21,N,4
22,81792,RENT,4.7,DEBTCONSOLIDATION,A,14500,8.95,0,0.18,N,3
43,49160,MORTGAGE,5.2,EDUCATION,A,7500,6.09,0,0.15,N,1
21,45390,MORTGAGE,4.3,MEDICAL,A,4200,6.58,0,0.09,Y,2
34,42418,RENT,6.5,VENTURE,E,15500,18.53,1,0.37,N,7
36,41248,OWN,3.3,PERSONAL,C,8300,12.8,0,0.2,N,2
20,126844,MORTGAGE,,VENTURE,A,8800,8.04,0,0.07,N,13
25,72419,MORTGAGE,3.6,VENTURE,B,4900,10.1,1,0.07,Y,8
27,43965,RENT,1.8,HOMEIMPROVEMENT,B,8100,10.23,0,0.18,N,9
49,91051,RENT,5.2,EDUCATION,A,5200,7.06,0,0.06,N,7
27,106302,RENT,4.1,PERSONAL,A,2700,7.1,0,0.03,N,6
21,41893,OWN,6.3,HOMEIMPROVEMENT,B,4000,8.74,0,0.1,N,9
31,51692,MORTGAGE,1.8,MEDICAL,C,3300,,0,0.06,N,10
22,60114,MORTGAGE,3.4,PERSONAL,A,8900,7.6,0,0.15,N,2
28,40737,RENT,,EDUCATION,D,5800,14.9,0,0.14,N,6
25,46743,RENT,0.8,MEDICAL,B,16600,11.12,0,0.36,N,8
31,46765,MORTGAGE,1.8,PERSONAL,B,10800,11.46,0,0.23,N,2
25,55622,RENT,3.5,PERSONAL,A,9300,7.36,0,0.17,N,8
24,276471,MORTGAGE,1.6,VENTURE,B,19100,10.01,0,0.07,N,4
34,38122,MORTGAGE,0.1,VENTURE,B,3900,9.05,0,0.1,N,6
30,28689,MORTGAGE,1.9,DEBTCONSOLIDATION,A,23700,7.79,1,0.83,N,10
28,97662,RENT,4.1,HOMEIMPROVEMENT,D,5100,16.48,1,0.05,N,4
20,65621,OWN,3.5,MEDICAL,B,15200,12.86,0,0.23,N,11
32,51349,MORTGAGE,16.7,EDUCATION,A,3900,5.17,0,0.08,N,4
25,92308,MORTGAGE,3.8,HOMEIMPROVEMENT,A,9100,8.75,0,0.1,N,4
30,32472,RENT,1.7,MEDICAL,A,16200,8.47,0,0.5,N,5
20,70078,RENT,5.7,MEDICAL,D,10800,15.85,0,0.15,N,7
30,54498,RENT,5.4,EDUCATION,A,8500,8.41,0,0.16,N,6
29,60916,RENT,3.5,VENTURE,B,21500,,0,0.35,N,6
27,61392,MORTGAGE,0.6,MEDICAL,C,4400,13.29,0,0.07,N,5
23,197188,MORTGAGE,3.6,EDUCATION,A,8400,5.78,0,0.04,N,7
35,46549,OWN,5.2,PERSONAL,B,4400,10.1,0,0.09,N,3
24,39281,RENT,6.3,HOMEIMPROVEMENT,C,7600,13.68,0,0.19,N,5
33,78273,RENT,2.9,MEDICAL,D,5100,,0,0.07,N,4
34,99793,RENT,3.7,VENTURE,C,7600,12.11,0,0.08,N,17
23,30462,RENT,0.8,PERSONAL,A,5500,,0,0.18,N,5
32,72775,RENT,7.0,PERSONAL,A,5700,7.03,0,0.08,N,7
25,33405,RENT,3.0,MEDICAL,B,7200,12.0,0,0.22,N,3
32,30417,RENT,3.3,EDUCATION,B,10800,,0,0.36,N,3
